%,Categories,Keywords,,,,
-18%,CEO/Executive Departure,CEO,Executive,Departure,,
-20%,Downgrade,downgrade,,,,
-23%,CFO Departure,CFO,Departure,,,
-23%,High Risk,,,,,
-25%,On the day of Reverse Split,reverse split,,,,
-35%,Business Update,business update,bankruptcy,,,
-35%,Profit Report (Early),profit,report,,,
-40%,Delisting Notice,delist,,,,
-40%,Reverse Split,reverse split,,,,
-40%,Public Offering,public offering,,,,
-40%,Profitable Quarter,profit,quarter,,,
-40%,Lost Customers,customers,clients,lost,loss,
-50%,Phase 1 News,phase i,phase-i,phase-1,phase 1,
-50%,Phase 1 Failure,phase i,phase-i,phase-1,phase 1,failure
-50%,Quarterly Loss (Early),quarter,loss,lost,,
-55%,Phase 2 News,phase ii,phase-ii,phase-2,phase 2,
-60%,Phase 2 Failure,phase ii,phase-ii,phase-2,phase 2,failure
-65%,Chapter 11 News,chapter 11,,,,
-65%,Reported Loss,report,loss,lost,,
-70%,Chapter 11 Announcement,chapter 11,announce,,,
-75%,Voluntary Delisting,volunteer,delist,voluntary,,
-80%,Phase 3 News,phase iii,phase-iii,phase-3,phase 3,
-85%,Phase 3 Failure,phase iii,phase-iii,phase-3,phase 3,failure
-85%,Chapter 7 Announcement,chapter 7,announce,,,
-85%,Pink Sheet (Early),otc,otcbb,pink sheet,,
-90%,Chapter 7 News,chapter 7,,,,
-90%,Pink Sheet (Early),otc,otcbb,pink sheet,,
