,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
0,HRMY,"Harmony Biosciences Holdings, Inc.",35.6,-4.22,-10.6,306895000000000.0,477915000000000.0,2267000000.0,
1,CCL,Carnival Corporation & Plc,15.93,-1.92,-10.76,80445000.0,38022000.0,13278000000.0,
2,CUK,Carnival Corporation & Plc,13.18,-1.42,-9.73,3642000.0,1870000.0,9446000000.0,
3,AM,Antero Midstream Corporation,5.22,-0.5,-8.74,17108000.0,5307000.0,2488000000.0,
4,CWH,"Camping World Holdings, Inc.",33.08,-3.02,-8.37,6244000.0,2851000.0,2931000000.0,
5,NKLA,Nikola Corporation,32.83,-2.96,-8.27,52985000.0,24725000.0,12442000000.0,
6,FIZZ,National Beverage Corp.,74.67,-6.49,-8.0,702837000000000.0,301750000000000.0,3482000000.0,23.86
7,RSHYY,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro,0.9008,-0.0692,-7.13,24140000000000.0,17323000000000.0,3877000000.0,3.0
8,C,Citigroup Inc.,44.81,-3.34,-6.94,84499000.0,22976000.0,94104000000.0,7.65
9,HQY,"HealthEquity, Inc.",51.02,-3.77,-6.88,1059000.0,898704000000000.0,3922000000.0,
10,NLLSF,Nel ASA,2.065,-0.145,-6.56,414341000000000.0,114848000000000.0,2948000000.0,
11,MDLA,"Medallia, Inc.",29.15,-2.02,-6.48,4985000.0,1598000.0,4287000000.0,
12,BVN,Compañía de Minas Buenaventura S.A.A.,11.75,-0.83,-6.6,2639000.0,1649000.0,2957000000.0,
13,COTY,Coty Inc.,3.18,-0.21,-6.19,27658000.0,11715000.0,2433000000.0,
14,ETRN,Equitrans Midstream Corporation,9.19,-0.58,-5.94,6401000.0,6826000.0,3974000000.0,
15,GNW,"Genworth Financial, Inc.",3.53,-0.22,-5.87,5077000.0,5949000.0,2097000000.0,
16,ORA,"Ormat Technologies, Inc.",55.23,-3.35,-5.72,1118000.0,379326000000000.0,2820000000.0,36.77
17,LYFT,"Lyft, Inc.",30.23,-1.74,-5.44,11731000.0,8895000.0,9434000000.0,
18,SDGR,"Schrödinger, Inc.",53.01,-2.97,-5.31,961865000000000.0,1278000.0,3661000000.0,
19,NCLH,Norwegian Cruise Line Holdings Ltd.,16.97,-0.82,-4.61,30554000.0,40546000.0,4677000000.0,
20,CBRL,"Cracker Barrel Old Country Store, Inc.",131.21,-6.89,-4.99,802897000000000.0,389793000000000.0,3139000000.0,421.9
21,SIRI,Sirius XM Holdings Inc.,5.36,-0.28,-4.96,46315000.0,24820000.0,23264000000.0,23.51
22,LNC,Lincoln National Corporation,33.59,-1.75,-4.95,2148000.0,1866000.0,6491000000.0,30.37
23,GSHD,"Goosehead Insurance, Inc",86.41,-4.47,-4.92,312215000000000.0,174182000000000.0,3177000000.0,454.79
24,API,"Agora, Inc.",48.23,-2.47,-4.87,616468000000000.0,1082000.0,4786000000.0,
25,TWST,Twist Bioscience Corporation,61.72,-3.16,-4.87,516269000000000.0,523329000000000.0,2757000000.0,
26,CIG-C,Companhia Energética de Minas Gerais,2.18,-0.1,-4.39,71845000000000.0,267991000000000.0,2974000000.0,10.23
27,CFG,"Citizens Financial Group, Inc.",26.69,-1.3,-4.64,6236000.0,5595000.0,11405000000.0,10.58
28,RCL,Royal Caribbean Group,67.69,-3.25,-4.58,8637000.0,12080000.0,14531000000.0,
29,M,"Macy's, Inc.",6.87,-0.33,-4.58,23166000.0,29817000.0,2130999999.9999998,
30,CAR,"Avis Budget Group, Inc.",32.51,-1.56,-4.58,2023000.0000000002,3314000.0,2265000000.0,
31,SLQT,"SelectQuote, Inc.",22.45,-1.05,-4.47,1390000.0,1127000.0,3650000000.0,
32,SVNLY,Svenska Handelsbanken AB (publ),4.62,-0.215,-4.45,303720000000000.0,140648000000000.0,18881000000.0,9.42
33,BABWF,"International Consolidated Airlines Group, S.A.",1.75,-0.08,-4.37,26970000000000.0,6768000000000.0,3404000000.0,1.09
34,WCC,"WESCO International, Inc.",43.7,-2.0,-4.38,610317000000000.0,1107000.0,2187000000.0,15.87
35,ADS,Alliance Data Systems Corporation,44.36,-1.97,-4.25,889785000000000.0,1281000.0,2117000000.0,40.51
36,ITGR,Integer Holdings Corporation,61.7,-2.83,-4.39,256136000000000.0,220140000000000.0,2027000000.0000002,27.93
37,EQH,"Equitable Holdings, Inc.",19.0,-0.85,-4.28,2837000.0,2847000.0,8539000000.0,234.57
38,KRNT,Kornit Digital Ltd.,60.08,-2.67,-4.25,335676000000000.0,250060000000000.0,2475000000.0,
39,BDX,"Becton, Dickinson and Company",226.15,-9.75,-4.13,2480000.0,1547000.0,65554000000.0,79.77
40,VIRT,"Virtu Financial, Inc.",26.34,-1.14,-4.15,1738000.0,1567000.0,5088000000.0,8.14
41,CMPR,Cimpress plc,80.29,-3.47,-4.14,114131000000000.0,169143000000000.0,2077999999.9999998,26.76
42,THC,Tenet Healthcare Corporation,28.37,-1.21,-4.09,979857000000000.0,1669000.0,3012000000.0,
43,SHI,Sinopec Shanghai Petrochemical Company Limited,18.76,-0.72,-3.7,109209000000000.0,46562000000000.0,4135000000.0,2.0
44,TWOU,"2U, Inc.",35.02,-1.47,-4.04,2448000.0,1675000.0,2255000000.0,
45,PACW,PacWest Bancorp,17.95,-0.75,-4.01,1279000.0,1217000.0,2125000000.0,
46,OSB,Norbord Inc.,31.98,-1.29,-3.88,196061000000000.0,262889000000000.0,2578000000.0,288.11
47,LEN,Lennar Corporation,75.9,-3.1,-3.92,7172000.0,2937000.0,23111000000.0,11.43
48,LEN-B,Lennar Corporation,60.26,-2.44,-3.89,77449000000000.0,116925000000000.0,23111000000.0,9.07
49,LAUR,"Laureate Education, Inc.",12.62,-0.51,-3.88,2292000.0,1070000.0,2650000000.0,
50,NARI,"Inari Medical, Inc.",75.43,-3.04,-3.87,311427000000000.0,302028000000000.0,3933000000.0,
51,TPR,"Tapestry, Inc.",16.84,-0.68,-3.88,6874000.0,5794000.0,4652000000.0,
52,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,6.31,-0.26,-3.96,586806000000000.0,569378000000000.0,9805000000.0,
53,KEX,Kirby Corporation,37.42,-1.52,-3.9,554157000000000.0,611793000000000.0,2247000000.0,
54,IMAB,I-Mab,38.0,-1.5,-3.8,302482000000000.0,130823000000000.0,2198000000.0,
55,OKE,"ONEOK, Inc.",26.29,-1.01,-3.7,5129000.0,5334000.0,11678000000.0,17.67
56,SCBFY,Standard Chartered PLC,9.61,-0.37,-3.71,35327000000000.0,5562000000000.0,14874000000.0,218.41
57,BHF,"Brighthouse Financial, Inc.",28.6,-1.1,-3.7,687132000000000.0,869979000000000.0,2660000000.0,1.17
58,HIG,"The Hartford Financial Services Group, Inc.",37.48,-1.41,-3.63,3216000.0,2234000.0,13425000000.0,7.55
59,CLX,The Clorox Company,209.59,-7.87,-3.62,2143000.0,1460000.0,26453000000.0,28.48
60,FOCS,Focus Financial Partners Inc.,30.42,-1.15,-3.64,257759000000000.0,420898000000000.0,2117000000.0,119.29
61,TKGBY,Turkiye Garanti Bankasi A.S.,0.8673,-0.0327,-3.64,327331000000000.0,136945000000000.0,3677000000.0,
62,AER,AerCap Holdings N.V.,27.78,-1.06,-3.68,1161000.0,1189000.0,3602000000.0,3.3
63,TPL,Texas Pacific Land Trust,463.6,-17.39,-3.62,22684000000000.0,19326000000000.0,3596000000.0,16.79
64,SSL,Sasol Limited,7.85,-0.28,-3.44,1414000.0,2077999.9999999998,4862000000.0,7.5
65,RXT,"Rackspace Technology, Inc.",18.4,-0.68,-3.56,2401000.0,4817000.0,3664000000.0,
66,HAE,Haemonetics Corporation,86.26,-3.24,-3.62,386524000000000.0,692182000000000.0,4373000000.0,46.55
67,FMCKJ,Freddie Mac,8.17,-0.3,-3.54,209200000000000.0,498210000000000.0,5580000000.0,
68,GBT,"Global Blood Therapeutics, Inc.",54.18,-1.98,-3.53,767432000000000.0,840560000000000.0,3424000000.0,
69,ZION,"Zions Bancorporation, National Association",31.16,-1.11,-3.44,1543000.0,1748000.0,5110000000.0,12.19
70,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",2.82,-0.09,-3.09,5760000.0,3746000.0,19095000000.0,3.93
71,APG,APi Group Corporation,14.09,-0.51,-3.49,771132000000000.0,1696000.0,2385000000.0,
72,MET,"MetLife, Inc.",37.51,-1.33,-3.42,5107000.0,5424000.0,34046000000.0,4.86
73,CI,Cigna Corporation,166.5,-5.35,-3.11,2858000.0,1806000.0,62136000000.0,11.86
74,UNM,Unum Group,18.19,-0.64,-3.4,2317000.0,2654000.0,3703000000.0,3.87
75,IDCBF,Industrial and Commercial Bank of China Limited,0.541,-0.019,-3.39,578500000000000.0,68743000000000.0,234056000000.0,4.33
76,NFE,New Fortress Energy Inc.,31.4,-1.1,-3.38,960519000000000.0,319782000000000.0,5406000000.0,
77,HTHT,Huazhu Group Limited,39.16,-1.37,-3.38,4330000.0,2163000.0,11632000000.0,55.86
78,EWBC,"East West Bancorp, Inc.",34.02,-1.19,-3.38,677528000000000.0,813101000000000.0,4813000000.0,8.16
79,KBH,KB Home,36.91,-1.25,-3.28,1197000.0,1756000.0,3611000000.0,11.43
80,VIR,"Vir Biotechnology, Inc.",30.81,-1.06,-3.33,938565000000000.0,1324000.0,3915000000.0,
81,PFG,"Principal Financial Group, Inc.",39.95,-1.37,-3.32,1008000.0,1470000.0,10967000000.0,8.79
82,INSP,"Inspire Medical Systems, Inc.",125.25,-4.32,-3.33,481019000000000.0,325814000000000.0,3357000000.0,
83,BC,Brunswick Corporation,60.87,-2.1,-3.33,686371000000000.0,882442000000000.0,4819000000.0,
84,RYCEY,Rolls-Royce Holdings plc,2.65,-0.09,-3.28,963752000000000.0,632501000000000.0,5029000000.0,1.79
85,BAX,Baxter International Inc.,80.51,-2.68,-3.22,3446000.0,3076000.0,40757000000.0,45.03
86,DLR-PG,"Digital Realty Trust, Inc.",25.04,-0.83,-3.21,154806000000000.0,18700000000000.0,26862000000.0,9.21
87,THS,"TreeHouse Foods, Inc.",39.21,-1.28,-3.16,781655000000000.0,568175000000000.0,2215000000.0,
88,SBNY,Signature Bank,90.49,-3.02,-3.23,497108000000000.0,395034000000000.0,4847000000.0,9.38
89,CAT,Caterpillar Inc.,148.6,-4.91,-3.2,4080000.0,3214000.0,80468000000.0,19.85
90,LMND,"Lemonade, Inc.",47.15,-1.56,-3.2,883678000000000.0,2031000.0000000002,2668000000.0,
91,LCII,LCI Industries,106.34,-3.65,-3.32,83879000000000.0,121814000000000.0,2675000000.0,25.3
92,DXC,DXC Technology Company,19.56,-0.63,-3.12,1697000.0,3383000.0,4972000000.0,
93,OSTK,"Overstock.com, Inc.",73.33,-2.4,-3.17,8823000.0,6642000.0,3135000000.0,
